[ 2012-11-11T18:58:50+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000336s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000288s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001537s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001644s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.015023s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015142s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.001131s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.001106s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000721s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001030s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004204s ]
[ 2012-11-11T18:58:50+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
